452,DK,2,Denmark,Copenhagen / Zealand,,,,"The Capital Region. Tivoli, Little Mermaid, Noma."
453,DK,3,Denmark,Zealand / Islands,,,,"Historic Viking towns like Roskilde."
454,DK,4,Denmark,Zealand / South,,,,"Commuter belt and coastal towns."
455,DK,5,Denmark,Funen / Odense,,,,"Hans Christian Andersen's birthplace."
456,DK,6,Denmark,South Jutland,,,,"Border region with Germany. Lego HQ (Billund)."
457,DK,7,Denmark,West / Central Jutland,,,,"Rugged west coast. Wind energy hub."
458,DK,8,Denmark,East Jutland / Aarhus,,,,"University city. 'City of Smiles'."
459,DK,9,Denmark,North Jutland / Aalborg,,,,"Top of Denmark. Skagen painters and dunes."
4520,DK,20,Denmark,Mobile,,,,Mobile network services
4540,DK,40,Denmark,Mobile,,,,Mobile network services
4550,DK,50,Denmark,Mobile,,,,Mobile network services
4560,DK,60,Denmark,Mobile,,,,Mobile network services

